TaxaName	RecNum	Phylum	Class	Order	Family	Genus	GroupCoarse	GroupFine	Species	ID level	Origin	IntroSource	CommonName	AlternateNames	ITIS_Accepted_Name	ITIS_URL	COL_Accepted_Name	COL_URL	Ref_GL_occurrence	Erie	Huron	Michigan	Ontario	Superior	St. Mary's River	Huron Erie Corridor	Niagara River	Ref_location	Notes	Benthic	Littoral	Limnetic	Lakes_Proper	Tribs/Wetlands	Aerial/ Terrestrial	BOLD_link	Other_Genetic_Info	NatHistory_source	NatHistory_link	nasID
Sphacelaria lacustris 	2000	Phaeophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	Sphacelaria	brown algae	attached filaments	Sphacelaria lacustris 	Species	Introduced	Unknown			species not found				GLANSIS; 			x							Algaebase - Sphacelaria lacustris Schloesser & Blum: http://www.algaebase.org/search/species/detail/?species_id=52909; Habitat - ; Other notes - 										NA	NA
Stephanodiscus binderanus	2111	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	diatom	eucentric	Stephanodiscus binderanus	Species	Introduced	Baltic Sea		Also originally as Stephanodiscus binderanus var. oestrupii (A.Cleve) A.Cleve	Stephanodiscus binderanus (Kütz.) Willi Kreig. 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2329	Stephanodiscus binderanus	http://www.catalogueoflife.org/col/details/species/id/35dc66227ce1917be8f81212225392c0	Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; EPA 1998; Brown and Manny 1983; Reavie et al 2014; U.S. EPA GLNPO 2018; 	1	1	1	1	1					Algaebase - Stephanodiscus binderanus (Kützing) Krieger : http://www.algaebase.org/search/species/detail/?species_id=33039; Habitat - ; Other notes - major component of the spring diatom bloom in Lake Erie			x	x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Stephanodiscus+binderanus			NA	NA
Stephanodiscus subtilis	2122	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	diatom	eucentric	Stephanodiscus subtilis	Species	Introduced	Eurasia			Stephanodiscus subtilis (Van Goor) A. Cleve 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2435	Stephanodiscus subtilis	http://www.catalogueoflife.org/col/details/species/id/ac6dc5ea76743bd2d1810cfb8c9174eb	Stoermer et al 1999; GLANSIS; 	x	x	x	x						Algaebase - Stephanodiscus subtilis (Goor) A.Cleve [taxonomy unverified]: http://www.algaebase.org/search/species/detail/?species_id=33054; Habitat - ; Other notes - 										NA	NA
Thalassiosira baltica	2273	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	diatom	eucentric	Thalassiosira baltica	Species	Introduced	Baltic Sea			Thalassiosira baltica	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2486	Thalassiosira baltica	http://www.catalogueoflife.org/col/details/species/id/43356a71351956a62bd868d0847b36e5	GLANSIS; EPA 1998; U.S. EPA GLNPO 2018; 	1			1	x					Algaebase - Thalassiosira baltica (Grunow) Ostenfeld : http://www.algaebase.org/search/species/detail/?species_id=39921; Habitat - ; Other notes - T. baltica is a dominant component of the spring diatom bloom in Lake Ontario			x	x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Thalassiosira+baltica			NA	NA
Thalassiosira bramaputrae	2274	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	diatom	eucentric	Thalassiosira bramaputrae	Species	Introduced	Atlantic Coast		"Coscinodiscus lacustris, Thalassiosira lacustris"	Thalassiosira bramaputrae (Ehrenb.) Håk. & Locker	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=590869	Thalassiosira bramaputrae	http://www.catalogueoflife.org/col/details/species/id/eb7847adc1eedb3d4b8269ac9062cd3b	Stoermer et al 1999; Makarewicz et al 1994; Makarewicz et al 1995; GLANSIS; 	x		x	x						Algaebase - Thalassiosira bramaputrae (Ehrenberg) Håkansson & Locker: http://www.algaebase.org/search/species/detail/?species_id=33060; Habitat - ; Other notes - 										NA	NA
Thalassiosira pseudonana 	2277	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	diatom	eucentric	Thalassiosira pseudonana 	Species	Introduced	Unknown			Thalassiosira pseudonana Hasle & Heim	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=2509	Thalassiosira pseudonana	http://www.catalogueoflife.org/col/details/species/id/22d9c898f22a39f69d712d4f41ee2084	Stoermer et al 1999; GLANSIS; 	x		x	x						Algaebase - Thalassiosira pseudonana Hasle & Heimdal : http://www.algaebase.org/search/species/detail/?species_id=32239; Habitat - ; Other notes - 							http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Thalassiosira+pseudonana+			NA	NA
Thalassiosira weissflogii 	2280	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	diatom	eucentric	Thalassiosira weissflogii 	Species	Introduced	Unknown		"Thalassiosira fluviatilis, Conticribra weissflogii"	Thalassiosira weissflogii (Grunow) Fryxell & Hasle 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=590872	Thalassiosira weissflogii	http://www.catalogueoflife.org/col/details/species/id/6aa8830e3ffee528367a42e29462dafe	Stoermer et al 1999; Makarewicz et al 1994; GLANSIS; U.S. EPA GLNPO 2018; 	1		x	x	x					Algaebase - Conticribra weissflogii (Grunow) Stachura-Suchoples & D.M.Williams: http://www.algaebase.org/search/species/detail/?species_id=136539; Habitat - ; Other notes - 				x			http://www.boldsystems.org/index.php/Taxbrowser_Taxonpage?searchTax=Search+Taxonomy&taxon=Thalassiosira+weissflogii+			NA	NA
Acanthoceras zachariasii	1	Ochrophyta	Bacillariophyceae	Chaetoceratales	Acanthocerataceae	Acanthoceras	diatom	eccentric	Acanthoceras zachariasii	Species	Native				Acanthoceras zachariasii (Brun) Simonsen 	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=591173	Acanthoceras zachariasii	http://www.catalogueoflife.org/col/details/species/id/1f632fb4a4fde0a6cb639fa833782c7a	Stoermer et al 1999; 										Algaebase - Acanthoceras zachariasii (Brun) Simonsen : http://www.algaebase.org/search/species/detail/?species_id=30857; Habitat - ; Other notes - 										NA	NA
Acanthosphaera zachariasi	2	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Acanthosphaera 	green algae	unicell	Acanthosphaera zachariasi	Species	Native				Genus not found				Prescott 1962; Makarewicz et al 1994; 			genus							"Algaebase - Acanthosphaera zachariasii Lemmermann : http://www.algaebase.org/search/species/detail/?species_id=62163; Habitat - Planktonic; Other notes - 24 needle-like setae per cell. Cells 9-15um, setae 30-35um. "										NA	NA
Achnanthes amoena	3	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	diatom	monoraphid	Achnanthes amoena	Species	Native			Karayevia amoena	Achnanthes amoena Hust.	https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=3461	Achnanthes amoena	http://www.catalogueoflife.org/col/details/species/id/fde2cf0a1318df1c812e3b935ca993fb	Stoermer et al 1999; U.S. EPA GLNPO 2018; 					1					"Algaebase - Karayevia amoena (Hustedt) Bukhtiyarova: http://www.algaebase.org/search/species/detail/?species_id=133736; Habitat - Occur in periphyton, adnate, or at the ends of short, mucilaginous stalks.; Other notes - "	x	x		x						NA	NA
